guessed,id,cert,true,notes
nl,3309.xml,0.4769951403141022,nl,
nl,24581.xml,0.47761261463165283,nl,
nl,163014.xml,0.4776874780654907,nl,
nl,26860.xml,0.4777984917163849,nl,
nl,2107.xml,0.4778292179107666,nl,
nl,23930.xml,0.4779123365879059,nl,
la,14602.xml,0.4779588282108307,la,
nl,2109.xml,0.4779609143733978,nl,
nl,20307.xml,0.47837620973587036,nl,
nl,3749.xml,0.4788200259208679,nl,
nl,33530.xml,0.47890618443489075,nl,
nl,22699.xml,0.4792676270008087,nl,
nl,8947.xml,0.4793046712875366,nl,
nl,34189.xml,0.48011645674705505,nl,
nl,40751.xml,0.48020145297050476,nl,
fr,111891.xml,0.4803350567817688,nl,et un peu de fr
nl,3747.xml,0.48040053248405457,nl,
nl,24337.xml,0.48094743490219116,nl,
de,16945.xml,0.48103049397468567,nl,
nl,12584.xml,0.4815822243690491,nl,
nl,24402.xml,0.4816202223300934,nl,
la,14226.xml,0.4817311465740204,la,
nl,2126.xml,0.4824792146682739,nl,
nl,36713.xml,0.482685923576355,nl,
nl,22255.xml,0.4831511378288269,nl,
nl,191884.xml,0.48345115780830383,nl,
nl,36707.xml,0.4836668372154236,nl,
nl,20571.xml,0.4840071201324463,nl,
nl,24508.xml,0.48412996530532837,nl,
nl,40759.xml,0.484155535697937,nl,
nl,188045.xml,0.4844125807285309,nl,
nl,2461.xml,0.48458945751190186,nl,
nl,30026.xml,0.48459452390670776,nl,
nl,6726.xml,0.48489245772361755,nl,
nl,20389.xml,0.4854842722415924,nl,
nl,36605.xml,0.485566109418869,nl,
nl,103509.xml,0.4858221113681793,nl,
nl,26737.xml,0.4861429035663605,nl,
nl,34166.xml,0.4863085448741913,nl,
de,26915.xml,0.4865652620792389,nl,
nl,153834.xml,0.48730430006980896,nl,
nl,9937.xml,0.4877292215824127,nl,
nl,36685.xml,0.4878682494163513,nl,
nl,19375.xml,0.48800039291381836,nl,
nl,36616.xml,0.4881935119628906,nl,
fr,111842.xml,0.48833784461021423,"nl, fr",
nl,3764.xml,0.48870787024497986,nl,
nl,158903.xml,0.4889463782310486,nl,
nl,3678.xml,0.48913639783859253,nl,
nl,22705.xml,0.4892706573009491,nl,
nl,190167.xml,0.4896412193775177,nl,
nl,26868.xml,0.48988059163093567,nl,
nl,122425.xml,0.4901813566684723,nl,
nl,36679.xml,0.4903557300567627,nl,
nl,17745.xml,0.4906071424484253,nl,
nl,3748.xml,0.49080610275268555,nl,
nl,189134.xml,0.49088603258132935,nl,
nl,6779.xml,0.4912850856781006,nl,
nl,33819.xml,0.49247708916664124,nl,
nl,26909.xml,0.49279746413230896,nl,
nl,24315.xml,0.4933396875858307,nl,
nl,2683.xml,0.49366921186447144,nl,
nl,19968.xml,0.4944181442260742,nl,
nl,3662.xml,0.4946608543395996,nl,
de,25417.xml,0.4953504502773285,nl,
nl,16521.xml,0.4955451488494873,nl,
nl,2063.xml,0.4956844449043274,nl,
nl,20616.xml,0.4957416355609894,nl,
nl,27129.xml,0.4961964190006256,nl,
nl,151877.xml,0.49634796380996704,nl,
nl,123266.xml,0.49666497111320496,nl,
nl,13781.xml,0.49725568294525146,nl,
nl,34583.xml,0.4976062476634979,nl,
nl,14920.xml,0.49779781699180603,nl,
nl,32548.xml,0.4979229271411896,nl,
nl,22130.xml,0.4979499578475952,nl,
nl,20613.xml,0.4979846477508545,nl,
de,25412.xml,0.4980831742286682,nl,
nl,34557.xml,0.49816229939460754,nl,
nl,34124.xml,0.4989069998264313,nl,
nl,116884.xml,0.49911296367645264,nl,
nl,191799.xml,0.4991162121295929,nl,
nl,114082.xml,0.4997090995311737,nl,
nl,34085.xml,0.49973124265670776,nl,
de,173387.xml,0.5003454685211182,nl,
nl,16496.xml,0.5003487467765808,nl,
nl,26267.xml,0.5006640553474426,nl,
nl,22155.xml,0.5008748173713684,nl,
